num,name,type,epoch,a,e,inc,w,omega,m,H,G,mass,axisRA,axisDec,thetaDot,info,wiki,wikipic,texture,radius
1,Ceres,2,58600,2.7691651,0.07600903,10.59407,73.59769,80.30553,77.3720975,3.4,0.12,,291.42744,66.76033,34777395.6185524,Dwarf planet,Ceres_(dwarf_planet),thumb/7/76/Ceres_-_RC3_-_Haulani_Crater_%2822381131691%29_%28cropped%29.jpg/330px-Ceres_-_RC3_-_Haulani_Crater_%2822381131691%29_%28cropped%29.jpg,1k_ceres.jpg,469.7
2,Pallas,2,59000,2.7738414,0.22997226,34.83293,310.20239,173.02474,144.9756755,4.2,0.11,,0,90,40390109.0462295,Main belt asteroid,2_Pallas,d/d4/Potw1749a_Pallas_crop.png,,256
3,Juno,2,59000,2.6682853,0.25693643,12.99104,248.06619,169.85148,125.4353546,5.33,0.32,,0,90,43769209.4313454,Main belt asteroid,3_Juno,thumb/2/21/Juno_4_wavelengths.jpg/375px-Juno_4_wavelengths.jpg,,123.5
4,Vesta,2,58600,2.3614179,0.08872146,7.14177,150.72854,103.8108,95.8619377,3,0.32,,316,48,59074503.931112,Main belt asteroid,4_Vesta,thumb/5/51/Vesta_in_natural_color.jpg/390px-Vesta_in_natural_color.jpg,,262.7
7,Iris,2,59000,2.3873753,0.23014504,5.5216,145.20155,259.56394,247.4258116,5.6,0.15,,0,90,44205482.5971099,Main belt asteroid,7_Iris,thumb/2/2d/Iris_asteroid_eso.jpg/375px-Iris_asteroid_eso.jpg,,107
10,Hygiea,2,59000,3.1424354,0.11211732,3.83179,312.41293,283.19845,222.8505433,5.5,0.15,,0,90,22825499.6712618,Main belt asteroid,10_Hygiea,thumb/8/88/SPHERE_image_of_Hygiea.jpg/398px-SPHERE_image_of_Hygiea.jpg,,217
13,Egeria,2,59000,2.5760639,0.0852831,16.53553,80.41453,43.22102,283.0026047,6.8,0.15,,0,90,44794322.2143364,Main belt asteroid,13_Egeria,thumb/b/b2/13Egeria_%28Lightcurve_Inversion%29.png/398px-13Egeria_%28Lightcurve_Inversion%29.png,,107
15,Eunomia,2,59000,2.6436897,0.1861777,11.75362,98.59525,292.9348,15.0256093,5.2,0.23,,0,90,51878349.4986027,Main belt asteroid,15_Eunomia,thumb/8/8f/15Eunomia_%28Lightcurve_Inversion%29.png/398px-15Eunomia_%28Lightcurve_Inversion%29.png,,134
16,Psyche,2,59000,2.9227756,0.13353121,3.09656,229.02682,150.04068,7.0485211,5.9,0.2,,0,90,75209702.3128028,Main belt asteroid,16_Psyche,5/5c/Psyche_asteroid_eso_crop.jpg,,112.5
22,Kalliope,3,59000,2.9103475,0.09804976,13.70174,357.25648,66.00465,274.6358434,6.5,0.21,0.08,0,90,,,,,,
