num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
5,Astraea,59000,2.5740373,0.19091334,5.36743,358.64842,141.57102,17.8463439,6.9,0.15,,,thumb/9/9a/5Astraea_%28Lightcurve_Inversion%29.png/265px-5Astraea_%28Lightcurve_Inversion%29.png
6,Hebe,59000,2.4245327,0.20321883,14.73965,239.73627,138.64343,190.6864961,5.8,0.24,,,thumb/d/de/6hebe.png/265px-6hebe.png
8,Flora,59000,2.2014147,0.15583279,5.88908,285.45891,110.87652,315.318013,6.5,0.28,,,thumb/e/ea/8Flora_%28Lightcurve_Inversion%29.png/265px-8Flora_%28Lightcurve_Inversion%29.png
9,Metis,59000,2.3861894,0.12330024,5.57649,6.33732,68.90946,23.9122047,6.3,0.17,,,thumb/9/99/9Metis_%28Lightcurve_Inversion%29.png/280px-9Metis_%28Lightcurve_Inversion%29.png
11,Parthenope,59000,2.4523898,0.09982333,4.63182,195.35905,125.52838,21.7018247,6.5,0.15,,,thumb/5/5e/Parthenope-asteroid.jpg/200px-Parthenope-asteroid.jpg
12,Victoria,59000,2.3337777,0.22043909,8.37275,69.69422,235.40103,243.8347334,7.3,0.22,,,thumb/e/e5/12Victoria_%28Lightcurve_Inversion%29.png/265px-12Victoria_%28Lightcurve_Inversion%29.png
14,Irene,59000,2.5863772,0.16624987,9.12145,97.80167,86.124,259.7957147,6.5,0.15,,,thumb/6/6d/14Irene_%28Lightcurve_Inversion%29.png/265px-14Irene_%28Lightcurve_Inversion%29.png
17,Thetis,59000,2.4709647,0.13332274,5.59266,135.97413,125.53968,45.0742751,7.7,0.15,,,thumb/4/48/17Thetis-LB1.jpg/240px-17Thetis-LB1.jpg
18,Melpomene,59000,2.2957087,0.21750532,10.13159,228.07768,150.36519,20.4621004,6.6,0.25,,,thumb/c/cb/A601.M993.shape.png/265px-A601.M993.shape.png
19,Fortuna,59000,2.4428571,0.15697471,1.57267,182.26272,211.069,300.3462377,7.3,0.1,,,thumb/b/ba/19Fortuna-LB1-crab-mag11.jpg/180px-19Fortuna-LB1-crab-mag11.jpg
