name,type,epoch,q,e,inc,w,omega,Tp,info,wiki,wikipic
1P/Halley,2,49400,0.58597811,0.96714291,162.26269,111.33249,58.42008,19860205.89532,,Halley%27s_Comet,thumb/2/2a/Lspn_comet_halley.jpg/420px-Lspn_comet_halley.jpg
2P/Encke,4,57210,0.33596164,0.84833479,11.78163,186.54591,334.56795,20131121.80139,,Comet_Encke,thumb/a/a1/Comet_Encke.jpg/450px-Comet_Encke.jpg
4P/Faye,4,57262,1.65187634,0.56961755,9.07029,205.12582,199.14398,20140529.86872,,4P/Faye,
6P/d'Arrest,4,57200,1.36145455,0.61142192,19.48168,178.11523,138.93371,20150302.4187,,6P/d'Arrest,
7P/Pons-Winnecke,4,53599,1.25551329,0.63452393,22.30263,172.26125,93.42327,20080926.6786,,7P/Pons-Winnecke,thumb/5/57/Artists_Concept_1921_Pons%E2%80%93Winnecke.jpg/330px-Artists_Concept_1921_Pons%E2%80%93Winnecke.jpg
8P/Tuttle,4,54453,1.02713126,0.81983096,54.98331,207.50713,270.34159,20080127.0234,,8P/Tuttle,thumb/2/2e/07-1230_8PTuttle%2BM33_martinez_vcastro_IMG_1912.JPG/450px-07-1230_8PTuttle%2BM33_martinez_vcastro_IMG_1912.JPG
9P/Tempel 1,4,57604,1.54254398,0.50959032,10.47403,179.20656,68.74919,20160802.58263,,9P/Tempel 1,thumb/5/5d/PIA02142_Tempel_1_bottom_sharped.jpg/375px-PIA02142_Tempel_1_bottom_sharped.jpg
10P/Tempel 2,4,55866,1.42180596,0.53627315,12.02422,195.60779,117.8023,20100704.78818,,10P/Tempel 2,
11P/Tempel-Swift-LINEAR,4,58778,1.38977802,0.57745106,14.43768,167.75326,238.99314,20201125.98763,,11P/Tempel-Swift-LINEAR,
12P/Pons-Brooks,4,39405,0.77801865,0.95422024,74.70375,199.09363,255.95951,19540523.17593,,12P/Pons-Brooks,
13P/Olbers,4,35760,1.17845061,0.93029715,44.60989,64.64121,86.10313,19560619.13533,,13P/Olbers,
14P/Wolf,4,55858,2.72858013,0.35748191,27.94266,159.19118,202.10791,20090227.61409,,14P/Wolf,
15P/Finlay,4,56406,0.97465031,0.72046703,6.80366,347.56561,13.80064,20141226.93459,,15P/Finlay,
16P/Brooks,4,57111,1.46671434,0.56306325,4.25948,219.71637,159.29082,20140607.665,,16P/Brooks,
17P/Holmes,4,57064,2.05694401,0.43175195,19.09182,24.53542,326.76397,20140327.53999,,17P/Holmes,thumb/c/c6/17pHolmes_071104_eder_vga.jpg/375px-17pHolmes_071104_eder_vga.jpg
19P/Borrelly,4,53126,1.35979974,0.62328927,30.31307,353.35069,75.43598,20010914.25363,,19P/Borrelly,thumb/a/a0/Comet_Borrelly_Nucleus.jpg/375px-Comet_Borrelly_Nucleus.jpg
21P/Giacobini-Zinner,4,58062,1.01350122,0.71046631,32.0031,172.8087,195.40525,20180910.26543,,21P/Giacobini-Zinner,thumb/6/6d/Comet_21P_Giacobini-Zinner_September_2018.jpg/375px-Comet_21P_Giacobini-Zinner_September_2018.jpg
22P/Kopff,4,55859,1.57605199,0.54418856,4.72396,162.70018,120.87476,20090524.93987,,22P/Kopff,thumb/3/33/Comet_22P_Kopff.jpg/375px-Comet_22P_Kopff.jpg
23P/Brorsen-Metcalf,4,47800,0.47875271,0.97195226,19.33394,129.61068,311.58546,19890911.93743,,23P/Brorsen-Metcalf,
24P/Schaumasse,4,57350,1.20616902,0.70483774,11.73398,58.00232,79.66578,20171116.76082,,24P/Schaumasse,7/7f/Com%C3%A8te_Schaumasse.jpg
26P/Grigg-Skjellerup,4,54326,1.11673632,0.63305277,22.35649,1.70407,211.71032,20080323.67902,,26P/Grigg-Skjellerup,thumb/a/a1/Grigg-Skjellerup_Eso9209a.jpg/375px-Grigg-Skjellerup_Eso9209a.jpg
27P/Crommelin,4,56364,0.74828747,0.91898109,28.96687,196.0254,250.62641,20110803.89109,,27P/Crommelin,
28P/Neujmin,4,55831,1.56398559,0.7740745,14.3779,347.73865,346.3161,20021228.14541,,28P/Neujmin,
29P/Schwassmann-Wachmann,4,55844,5.72972056,0.04437627,9.38209,50.206,312.59535,20040727.33864,,29P/Schwassmann-Wachmann,thumb/0/09/29P_Schwassmann_Wachmann.jpg/375px-29P_Schwassmann_Wachmann.jpg
30P/Reinmuth,4,56183,1.88097374,0.50161057,8.12627,13.1462,119.72786,20100419.76565,,30P/Reinmuth,
31P/Schwassmann-Wachmann,4,55509,3.42431775,0.19286106,4.54662,17.92987,114.18854,20100929.4589,,31P/Schwassmann�Wachmann,
32P/Comas Sola,4,55353,2.00856519,0.55464858,9.96852,53.30659,57.8436,20141019.70089,,32P/Comas Sola,
33P/Daniel,4,55481,2.16672419,0.46235981,22.38614,18.9053,66.54084,20080720.41093,,33P/Daniel,
35P/Herschel-Rigollet,4,29480,0.74849,0.97405,64.207,29.298,355.98,19390809.464,,35P/Herschel-Rigollet,
36P/Whipple,4,54434,3.08977973,0.25809742,9.93498,202.02211,182.38966,20120102.43963,,36P/Whipple,
37P/Forbes,4,57839,1.60884822,0.53447671,8.96209,330.00067,314.63969,20180504.14754,,37P/Forbes,
