name,type,epoch,orbiting,orbitRef,a,e,w,m,inc,omega,lDot,P,wDot,omegaDot,H,radius,orbitRA,orbitDec,tilt,info,wiki,wikipic
S/2000 (90) 1,3,51544,90 Antiope,E,171,0.006,,,,,,0.687713,,,9.02,41.9,,,,,,
S/2001 (107) 1,3,51544,107 Camilla,E,1235,0.006,,,10,,,3.71,,,13.18,,,,,,,
Peneius,3,51544,41 Daphne,E,443,,,,,,,1.1,,,,1,,,,,,
Moon,2,51544.5,Earth,E,384400,0.0554,318.15,135.27,5.16,125.08,481274.860066595,27.322,5.997,18.6,-12.6,1737.4,,,,Also known as Luna.,Moon,thumb/e/e1/FullMoon2010.jpg/330px-FullMoon2010.jpg
S/2003 (130) 1,3,51544,130 Elektra,E,1318,0.13,,,3,,,5.258,,,14.5,3.5,,,,,,
Dysnomia,3,51344,Eris,Q,37273,0.0062,,,78.29,126.17,,15.785899,,,5.6,350,,,,,,
S/2004 (45) 1,3,51544,45 Eugenia,E,700,,,,,,,4.7,,,,3,,,,,,
Petit-Prince,3,51544,45 Eugenia,Q,1184,0.01,,,8,,,4.766,,,13.6,6.5,,,,,,
S/2019 (31) 1,3,51544,31 Euphrosyne,E,672,0.043,135.2,,1.4,80.1,,1.209,,,,4,,,,,,
S/2004 (854) 1,3,51544,854 Frostia,E,17,,,,,,,1.572,,,14.8,2.3,,,,,,
Xiangliu,3,51344,Gonggong,E,24021,0.2908,,,83.08,31.99,,25.22073,,,6.93,50,,,,,,
Hi'iaka,3,51344,Haumea,E,49880,0.0513,,,126.356,,,49.12,,,,80,,,,,,
Namaka,3,51344,Haumea,E,25657,0.249,178.9,178.5,113.013,205.016,,18.2783,,,,47.5,,,,,,
Skamandrios,3,51344,624 Hektor,E,623.5,0.31,113.4,,166.2,170.7,,2.9651,,,,6,,,,,,
S/2002 (121) 1,3,51544,121 Hermione,Q,768,0.001,,,3,,,2.582,,,,,,,,,,
S/2012 (38628) 1,3,51344,38628 Huya,E,1740,,,,,,,3.2,,,6.44,115.5,,,,,,
Dactyl,3,51544,243 Ida,E,90,,,,8,,,20,,,,0.7,,,,,,
